Gene ID	Gene Name	g1.WithInSampleAbundance	g7.WithInSampleAbundance	g6.WithInSampleAbundance	g10.WithInSampleAbundance	g5.WithInSampleAbundance	g3.WithInSampleAbundance	g8.WithInSampleAbundance	g9.WithInSampleAbundance	g2.WithInSampleAbundance	g4.WithInSampleAbundance
DIS3L2		487	0	433	179	164	272	1096	303	0	316
DKC1		3767	5498	3072	2369	2029	2926	2497	4717	413	8842
DLAT		28011	18630	19491	21380	20168	16991	40130	24225	17702	21916
DLD		21034	27394	19433	40026	20377	21058	26267	34025	20319	36711
DLG1		1962	3208	2027	1832	2253	1670	1683	2072	2323	2600
DLG3		889	1308	984	0	950	1201	1449	2567	0	276
DLG5		33	0	0	0	0	0	0	64	0	231
DLGAP4		906	1199	1232	634	1197	1215	1064	977	0	1783
DLST		50730	49510	47453	67850	58006	45924	71843	34450	52323	36826
DMAC2L		4737	4104	6598	7510	7916	4484	9060	6872	3391	5152
DMAP1		309	716	778	0	151	99	158	894	899	474
DMBT1		485	0	247	648	88	0	365	191	2702	0
DMD		48	19	83	292	175	0	0	6	124	0
DMTN		0	1349	0	3826	1351	1902	0	779	0	0
DMXL1		108	0	68	0	174	0	201	125	0	0
DMXL2		66	0	0	0	0	49	59	41	0	53
DNAAF10		4090	1070	3598	0	504	814	3618	2813	1965	3915
DNAAF5		1856	2265	1830	291	422	1037	989	1725	5200	1257
DNAH11		46	0	0	0	0	0	91	51	0	0
DNAJA1		4380	2356	6323	2004	1815	5581	2953	7436	1854	5887
DNAJA2		21490	5436	18225	3065	1062	15828	38501	25983	1578	24631
DNAJA3		8054	6542	7156	4887	7555	8670	15418	12697	7127	8418
DNAJA4		0	0	0	0	0	560	1684	934	0	398
DNAJB1		5552	10075	7813	6402	6481	5684	9238	34654	13282	13297
DNAJB11		9311	4917	4650	6399	5029	8414	6059	6629	6300	6146
DNAJB12		1292	216	665	630	741	1339	617	1112	0	797
DNAJB2		2311	1539	3323	2508	2493	2889	7062	2528	1236	719
DNAJB6		648	0	585	1076	0	661	467	744	0	864
DNAJC1		800	231	1929	0	364	2511	726	3547	290	705
DNAJC10		3258	3116	3180	2768	7322	5707	2315	3841	3679	4011
DNAJC11		2275	3078	2359	2984	1789	4144	3564	7422	2961	3731
DNAJC12		0	1576	1040	0	4048	0	10975	16868	0	289
DNAJC13		893	909	839	610	825	932	918	920	1017	1049
DNAJC16		0	0	118	0	0	236	140	232	0	0
DNAJC17		0	0	1348	0	37	0	601	1430	0	1311
DNAJC19		14539	12469	16237	2734	6269	1176	55788	14683	10752	10956
DNAJC2		321	0	128	64	0	209	238	324	0	473
DNAJC21		303	0	0	0	0	219	0	1821	0	0
DNAJC3		6566	2894	4048	3266	3579	7014	4732	3150	4469	5097
DNAJC7		4003	1513	2143	1083	4003	3155	2295	3191	1546	3954
DNAJC8		2524	4465	2982	1930	7278	2299	912	2084	4973	6779
DNAJC9		6669	4445	2570	784	2751	5198	3995	5145	6592	10966
DNASE2		13560	10031	13267	5198	10675	10214	62007	33386	2451	20065
DNM1		1471	1172	1212	362	1369	1235	541	968	1376	1383
DNM1L		5789	6881	6532	4425	5734	8055	10100	10140	6140	7436
DNM2		10915	5116	7454	3323	7061	8237	10487	9357	9189	6975
DNMBP		63	0	0	0	60	89	216	118	0	0
DNMT1		1490	209	460	73	468	687	802	809	261	1783
DNMT3A		689	0	70	0	0	319	122	0	200	0
DNPEP		20636	32476	36514	18443	31827	27402	23036	38284	30141	41013
DNPH1		27073	40665	31411	33149	20157	29561	41959	45501	23106	29626
DNTTIP2		383	0	0	36	0	169	74	118	0	76
DOCK1		243	469	539	331	375	218	226	361	0	432
DOCK10		1827	303	380	282	6819	12448	3044	775	156	1803
DOCK11		232	39	174	131	205	255	47	161	181	340
DOCK2		1797	436	946	2295	1462	2820	820	308	1371	642
DOCK4		154	83	181	0	0	43	168	127	0	379
DOCK5		91	0	178	20	109	102	183	286	0	75
DOCK6		88	0	126	25	137	115	217	58	0	0
DOCK7		496	46	369	415	450	622	528	546	368	267
DOCK8		747	351	283	383	544	1229	211	358	522	714
DOCK9		423	96	267	272	234	342	511	141	505	181
DOHH		1819	1025	2292	195	1856	1231	3289	2160	467	1458
DOK1		2365	1710	1967	336	2484	2808	1856	779	2131	2000
DOK2		3767	1452	732	0	5321	3362	730	1017	3453	1398
DOK3		2131	207	904	511	994	1234	1237	439	0	711
DOP1B		525	361	842	241	219	776	993	405	0	671
DPCD		888	2328	1844	141	1102	1890	2082	3460	0	539
DPEP1		265	0	0	7335	0	908	0	0	0	0
DPF2		4066	3122	4367	1280	3590	3617	4102	2233	8414	3443
DPH1		2556	0	811	0	1147	2003	1762	1364	3261	2846
DPH2		1725	0	1364	0	691	1399	1855	2129	0	2669
DPH5		1515	0	1871	0	818	1166	1145	1846	1224	1422
DPM1		13060	13838	13835	13528	16279	24128	24349	24336	22374	11279
DPM3		6186	20181	10675	0	53552	16722	24312	30182	22858	40291
DPP3		23468	16270	20086	6939	11110	30785	23641	16744	21977	9829
DPP4		2289	3184	2535	3242	4421	3318	2105	3717	5265	10225
DPP7		16981	33108	36791	6991	6171	22292	40597	37023	13304	33207
DPP8		634	0	528	291	966	1131	640	870	1279	0
DPP9		2508	2552	3374	2121	2842	2543	2890	4926	3172	3364
DPT		157873	1203506	579199	332034	1412124	913482	921976	97467	3167012	172562
DPY19L1		813	263	667	0	0	378	0	0	0	1576
DPY19L3		0	0	1218	0	478	689	509	1603	0	3237
DPY30		9680	24355	27555	13235	9845	1263	20991	37186	7415	47750
DPYD		2294	1555	1828	2170	3022	2465	3282	1640	3165	3101
DPYSL2		73352	59182	71980	53834	80442	58871	23278	38484	107012	35026
DPYSL3		56378	82124	159131	65764	115603	100564	54243	51080	117227	189084
DR1		36243	30155	24321	16669	24655	23412	18911	11253	35242	15232
DRAP1		3547	1803	3216	0	6846	5111	0	2784	8247	9323
DRG1		3392	3390	4173	3127	4677	3856	3149	3552	6784	4302
DRG2		2253	2130	2703	2916	3650	2265	4693	3321	3404	4128
DSC1		4143	2904	1459	3974	3133	4920	1878	3417	6257	5841
DSC2		2511	767	2065	3811	3307	1039	1791	1259	3049	1121
DSC3		0	0	203	1130	482	80	191	582	0	616
